postcode,valid,area
AB10 6JA,yes,here
AB10 6JB,yes,here
AB10 6JD,yes,here
AB10 6JE,yes,here
AB10 6JF,yes,here
AB10 6JG,yes,here
AB10 6JH,yes,here
AB10 6JJ,yes,here
AB10 6JL,yes,here
AB10 6JN,yes,here
AB10 6JP,yes,here
AB10 6JQ,yes,here
AB10 6JR,yes,here
AB10 6JU,yes,here
AB10 6JW,yes,here
AB10 6JY,yes,here
AB10 6JZ,yes,here
AB10 6LE,yes,here
AB10 6LF,yes,here
AB10 6LG,yes,here
AB10 6LH,yes,here
AB10 6LQ,yes,here
AB10 6LR,yes,here
AB10 6LX,yes,here
AB10 6LZ,yes,here
AB10 6NA,yes,here
AB10 6NB,yes,here
AB10 6ND,yes,here
AB10 6NJ,yes,here
AB10 6NL,yes,here
AB10 6NN,yes,here
AB10 6NP,yes,here
AB10 6NQ,yes,here
AB10 6NR,yes,here
AB10 6NU,yes,here
AB10 6NW,yes,here
AB10 6NY,yes,here
AB10 6NZ,yes,here
AB10 6PA,yes,here
AB10 6PB,yes,here
AB10 6PD,yes,here
AB10 6PE,yes,here
AB10 6PF,yes,here
AB10 6PG,yes,here
AB10 6PH,yes,here
AB10 6PJ,yes,here
AB10 6PL,yes,here
AB10 6PN,yes,here
AB10 6PP,yes,here
AB10 6PQ,yes,here
AB10 6PR,yes,here
AB10 6PS,yes,here
AB10 6PT,yes,here
AB10 6PU,yes,here
AB10 6PW,yes,here
AB10 6PX,yes,here
AB10 6PY,yes,here
AB10 6PZ,yes,here
AB10 6QA,yes,here
AB10 6QB,yes,here
AB10 6QD,yes,here
AB10 6QE,yes,here
AB10 6QF,yes,here
AB10 6QG,yes,here
AB10 6QH,yes,here
AB10 6QJ,yes,here
AB10 6QL,yes,here
AB10 6QN,yes,here
AB10 6QP,yes,here
AB10 6QQ,yes,here
AB10 6QR,yes,here
AB10 6QS,yes,here
AB10 6QT,yes,here
AB10 6QU,yes,here
AB10 6QW,yes,here
AB10 6QX,yes,here
AB10 6QY,yes,here
AB10 6QZ,yes,here
AB10 6RA,yes,here
AB10 6RB,yes,here
AB10 6RD,yes,here
AB10 6RE,yes,here
AB10 6RF,yes,here
AB10 6RG,yes,here
AB10 6RH,yes,here
AB10 6RJ,yes,here
AB10 6RL,yes,here
AB10 6RN,yes,here
AB10 6RP,yes,here
AB10 6RQ,yes,here
AB10 6RR,yes,here
AB10 6RS,yes,here
AB10 6RT,yes,here
AB10 6RU,yes,here
AB10 6RW,yes,here
AB10 6RX,yes,here
AB10 6RY,yes,here
AB10 6RZ,yes,here
AB10 6SA,yes,here
AB10 6SB,yes,here
AB10 6SD,yes,here
AB10 6SE,yes,here
AB10 6SF,yes,here
AB10 6SG,yes,here
AB10 6SH,yes,here
AB10 6SJ,yes,here
AB10 6SL,yes,here
AB10 6SN,yes,here
AB10 6SP,yes,here
AB10 6SQ,yes,here
AB10 6SR,yes,here
AB10 6SS,yes,here
AB10 6ST,yes,here
AB10 6SU,yes,here
AB10 6SW,yes,here
AB10 6SX,yes,here
AB10 6SY,yes,here
AB10 6SZ,yes,here
AB10 6TA,yes,here
AB10 6TB,yes,here
AB10 6TD,yes,here
AB10 6TE,yes,here
AB10 6TF,yes,here
AB10 6TG,yes,here
AB10 6TH,yes,here
AB10 6TJ,yes,here
AB10 6TP,yes,here
AB10 6TQ,yes,here
AB10 6TR,yes,here
AB10 6TS,yes,here
AB10 6UQ,yes,here
AB10 6UR,yes,here
AB10 6US,yes,here
AB10 6UT,yes,here
AB10 6UX,yes,here
AB10 6UZ,yes,here
AB10 6WD,yes,here
AB10 6WE,yes,here
AB10 6XA,yes,here
AB10 6XB,yes,here
AB10 6XD,yes,here
AB10 6XE,yes,here
AB10 6XF,yes,here
AB10 6XH,yes,here
AB10 6XJ,yes,here
AB10 6XL,yes,here
AB10 6XN,yes,here
AB10 6XP,yes,here
AB10 6XQ,yes,here
AB10 6XR,yes,here
AB10 6XS,yes,here
AB10 6XT,yes,here
AB10 6XU,yes,here
AB10 6XW,yes,here
AB10 6XX,yes,here
AB10 6YA,yes,here
AB10 6YH,yes,here
AB10 7AA,yes,here
AB10 7AB,yes,here
AB10 7AD,yes,here
AB10 7AE,yes,here
AB10 7AF,yes,here
AB10 7AG,yes,here
AB10 7AH,yes,here
AB10 7AJ,yes,here
AB10 7AL,yes,here
AB10 7AN,yes,here
AB10 7AP,yes,here
AB10 7AQ,yes,here
AB10 7AR,yes,here
AB10 7AS,yes,here
AB10 7AT,yes,here
AB10 7AU,yes,here
AB10 7AW,yes,here
AB10 7AX,yes,here
AB10 7AY,yes,here
AB10 7AZ,yes,here
AB10 7BA,yes,here
AB10 7BB,yes,here
AB10 7BD,yes,here
AB10 7BE,yes,here
AB10 7BF,yes,here
AB10 7BG,yes,here
AB10 7BH,yes,here
AB10 7BJ,yes,here
AB10 7BL,yes,here
AB10 7BN,yes,here
AB10 7BP,yes,here
AB10 7BQ,yes,here
AB10 7BR,yes,here
AB10 7BS,yes,here
AB10 7BT,yes,here
AB10 7BU,yes,here
AB10 7BW,yes,here
AB10 7BX,yes,here
AB10 7BY,yes,here
AB10 7BZ,yes,here
AB10 7DA,yes,here
AB10 7DB,yes,here
AB10 7DD,yes,here
AB10 7DE,yes,here
AB10 7DF,yes,here
AB10 7DG,yes,here
AB10 7DH,yes,here
AB10 7DJ,yes,here
AB10 7DL,yes,here
AB10 7DN,yes,here
AB10 7DP,yes,here
AB10 7DQ,yes,here
AB10 7DR,yes,here
AB10 7DS,yes,here
AB10 7DT,yes,here
AB10 7DU,yes,here
AB10 7DX,yes,here
AB10 7DY,yes,here
AB10 7DZ,yes,here
AB10 7EA,yes,here
AB10 7EB,yes,here
AB10 7ED,yes,here
AB10 7EE,yes,here
AB10 7EF,yes,here
AB10 7EG,yes,here
AB10 7EH,yes,here
AB10 7EJ,yes,here
AB10 7EL,yes,here
AB10 7EN,yes,here
AB10 7EP,yes,here
AB10 7EQ,yes,here
AB10 7ER,yes,here
AB10 7ES,yes,here
AB10 7ET,yes,here
AB10 7EU,yes,here
AB10 7EW,yes,here
AB10 7EX,yes,here
AB10 7EY,yes,here
AB10 7EZ,yes,here
AB10 7FA,yes,here
AB10 7FB,yes,here
AB10 7FD,yes,here
AB10 7FE,yes,here
AB10 7FF,yes,here
AB10 7FG,yes,here
AB10 7FH,yes,here
AB10 7FJ,yes,here
AB10 7FL,yes,here
AB10 7FN,yes,here
AB10 7FP,yes,here
AB10 7FQ,yes,here
